,代码,名称
898,sh600822,上海物贸
899,sh600824,益民集团
900,sh600825,新华传媒
901,sh600826,DR兰生股
902,sh600827,百联股份
903,sh600828,茂业商业
904,sh600829,人民同泰
905,sh600830,香溢融通
906,sh600831,广电网络
907,sh600833,第一医药
908,sh600834,申通地铁
909,sh600835,上海机电
910,sh600836,*ST易连
911,sh600837,海通证券
912,sh600838,上海九百
913,sh600839,四川长虹
914,sh600841,动力新科
915,sh600843,上工申贝
916,sh600844,丹化科技
917,sh600845,宝信软件
918,sh600846,同济科技
919,sh600847,万里股份
920,sh600848,上海临港
921,sh600850,电科数字
922,sh600851,海欣股份
923,sh600853,龙建股份
924,sh600854,春兰股份
925,sh600855,航天长峰
926,sh600857,宁波中百
927,sh600858,银座股份
928,sh600859,王府井
929,sh600860,京城股份
930,sh600861,北京人力
931,sh600862,XD中航高
932,sh600863,内蒙华电
933,sh600864,哈投股份
934,sh600865,百大集团
935,sh600866,星湖科技
936,sh600867,通化东宝
937,sh600868,梅雁吉祥
938,sh600869,远东股份
939,sh600871,石化油服
940,sh600872,中炬高新
941,sh600873,梅花生物
942,sh600874,创业环保
943,sh600875,东方电气
944,sh600876,凯盛新能
945,sh600877,电科芯片
946,sh600879,航天电子
947,sh600880,博瑞传播
948,sh600881,亚泰集团
949,sh600882,妙可蓝多
950,sh600883,博闻科技
951,sh600884,杉杉股份
952,sh600885,宏发股份
953,sh600886,国投电力
954,sh600887,伊利股份
955,sh600888,新疆众和
956,sh600889,南京化纤
957,sh600892,大晟文化
958,sh600893,航发动力
959,sh600894,广日股份
960,sh600895,张江高科
961,sh600897,厦门空港
962,sh600898,*ST美讯
963,sh600900,长江电力
964,sh600901,江苏金租
965,sh600903,贵州燃气
966,sh600905,三峡能源
967,sh600906,财达证券
968,sh600908,无锡银行
969,sh600909,XD华安证
970,sh600916,中国黄金
971,sh600917,重庆燃气
972,sh600918,中泰证券
973,sh600919,江苏银行
974,sh600925,苏能股份
975,sh600926,杭州银行
976,sh600927,永安期货
977,sh600928,西安银行
978,sh600929,雪天盐业
979,sh600933,爱柯迪
980,sh600935,华塑股份
981,sh600936,广西广电
982,sh600938,中国海油
983,sh600939,重庆建工
984,sh600941,中国移动
985,sh600955,维远股份
986,sh600956,新天绿能
987,sh600958,XD东方证
988,sh600959,江苏有线
989,sh600960,渤海汽车
990,sh600961,株冶集团
991,sh600962,国投中鲁
992,sh600963,岳阳林纸
993,sh600965,福成股份
994,sh600966,博汇纸业
995,sh600967,内蒙一机
996,sh600968,海油发展
997,sh600969,郴电国际
998,sh600970,中材国际
999,sh600971,恒源煤电
1000,sh600973,宝胜股份
1001,sh600975,新五丰
1002,sh600976,健民集团
1003,sh600977,中国电影
1004,sh600979,广安爱众
1005,sh600980,北矿科技
1006,sh600981,汇鸿集团
1007,sh600982,宁波能源
1008,sh600983,惠而浦
1009,sh600984,建设机械
1010,sh600985,淮北矿业
1011,sh600986,浙文互联
1012,sh600987,航民股份
1013,sh600988,赤峰黄金
1014,sh600989,宝丰能源
1015,sh600990,四创电子
1016,sh600992,贵绳股份
1017,sh600993,马应龙
1018,sh600995,南网储能
1019,sh600996,贵广网络
1020,sh600997,开滦股份
1021,sh600998,九州通
1022,sh600999,招商证券
1023,sh601000,唐山港
1024,sh601001,晋控煤业
1025,sh601002,晋亿实业
1026,sh601003,柳钢股份
1027,sh601005,重庆钢铁
1028,sh601006,大秦铁路
1029,sh601007,金陵饭店
1030,sh601008,连云港
1031,sh601009,南京银行
1032,sh601010,文峰股份
1033,sh601011,宝泰隆
1034,sh601012,隆基绿能
1035,sh601015,陕西黑猫
1036,sh601016,节能风电
1037,sh601018,宁波港
1038,sh601019,山东出版
1039,sh601020,华钰矿业
1040,sh601021,春秋航空
1041,sh601022,宁波远洋
1042,sh601028,玉龙股份
1043,sh601033,永兴股份
1044,sh601038,一拖股份
1045,sh601058,赛轮轮胎
1046,sh601059,信达证券
1047,sh601061,中信金属
1048,sh601065,江盐集团
1049,sh601066,中信建投
1050,sh601068,中铝国际
1051,sh601069,西部黄金
1052,sh601077,XD渝农商
1053,sh601083,锦江航运
1054,sh601086,国芳集团
1055,sh601088,中国神华
1056,sh601089,福元医药
1057,sh601096,宏盛华源
1058,sh601098,中南传媒
1059,sh601099,太平洋
1060,sh601100,XD恒立液
1061,sh601101,昊华能源
1062,sh601106,中国一重
1063,sh601107,四川成渝
1064,sh601108,财通证券
1065,sh601111,中国国航
1066,sh601113,华鼎股份
1067,sh601116,三江购物
1068,sh601117,中国化学
1069,sh601118,海南橡胶
1070,sh601121,宝地矿业
1071,sh601126,四方股份
1072,sh601127,赛力斯
1073,sh601128,常熟银行
