,name,cname,symbol,category
295,PG&E Corp.,太平洋瓦斯与电力公司,PCG,
296,Truist Financial Corp.,Truist Financial Corp.,TFC,
297,"The Travelers Cos., Inc.",旅行者财产险集团,TRV,保险
298,Newmont Corp.,纽曼矿业,NEM,
299,"D.R. Horton, Inc.",霍顿房屋公司,DHI,房屋建筑商
300,"Suncor Energy, Inc.",森科能源公司,SU,油气
301,Kimberly-Clark Corp.,金伯利克拉克公司,KMB,家庭产品/用品
302,Johnson Controls International Plc,江森自控公司,JCI,汽车部件与设备
303,Ford Motor Co.,福特汽车公司,F,汽车制造
304,"GE Vernova, Inc.","GE Vernova, Inc.",GEV,
305,Realty Income Corp.,Realty Income Corp.,O,房地产信托投资基金
306,"Fortinet, Inc.",飞塔信息公司,FTNT,计算机硬件
307,"American Electric Power Co., Inc.",美国电力公司,AEP,电力
308,"Constellation Brands, Inc.",星座品牌酒业,STZ,饮料
309,"Keurig Dr Pepper, Inc.","Keurig Dr Pepper, Inc.",KDP,
310,"DexCom, Inc.",德康医疗,DXCM,
311,"DoorDash, Inc.",DoorDash,DASH,
312,"ONEOK, Inc.",万欧克,OKE,管道
313,TE Connectivity Ltd.,泰科电子有限公司,TEL,
314,Manulife Financial Corp.,Manulife Financial Corp.,MFC,保险
315,Alcon AG,爱尔康,ALC,卫生保健设施
316,Canadian Imperial Bank of Commerce,加拿大帝国商业银行,CM,银行
317,"W.W. Grainger, Inc.",美国固安捷,GWW,销售/批发
318,Hess Corp.,赫斯公司,HES,
319,Vanguard FTSE All-World ex-US Index Fund,非美地区ETF-Vanguard FTSE,VEU,股权
320,"JD.com, Inc.",京东,JD,
321,"Paychex, Inc.",沛齐公司,PAYX,商业服务
322,"Waste Connections, Inc.","Waste Connections, Inc.",WCN,环境控制
323,"Kinder Morgan, Inc.",金德尔摩根公司,KMI,
324,The Bank of New York Mellon Corp.,纽约梅隆银行公司,BK,
325,"Humana, Inc.",休曼纳公司,HUM,卫生保健设施
326,Lennar Corp.,莱纳建筑公司,LEN,
327,"Crown Castle, Inc.",冠城国际,CCI,电信
328,Sea Ltd. (Singapore),Sea Ltd.,SE,管道
329,"Fidelity National Information Services, Inc.",繁德信息技术,FIS,
330,"Snowflake, Inc.","Snowflake, Inc.",SNOW,
331,Lloyds Banking Group Plc,劳埃德银行,LYG,银行
332,"Dominion Energy, Inc.",道明尼资源公司,D,
333,"Ameriprise Financial, Inc.",美价金融,AMP,保险
334,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Mid-Term Future,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Mid-Term Future,VXZB,
335,MPLX LP,MPLX LP,MPLX,
336,"IDEXX Laboratories, Inc.",IDEXX实验室,IDXX,
337,BB&T Corp.,BB&T银行,BBT,银行
338,The Allstate Corp.,美国好事达保险公司,ALL,保险
339,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc.",LHX,
340,The Alerian MLP ETF,The Alerian MLP ETF,AMLP,股权
341,"Takeda Pharmaceutical Co., Ltd.","Takeda Pharmaceutical Co., Ltd.",TAK,
342,Ares Management Corp.,Ares Management Corp.,ARES,
343,"United Rentals, Inc.",联合租赁,URI,
344,"The Est茅e Lauder Companies, Inc.",雅诗兰黛公司,EL,化妆品/护理
345,Ferguson Plc,Ferguson Plc,FERG,
346,"Prudential Financial, Inc.",保德信金融集团,PRU,保险
347,TC Energy Corp.,TC Energy Corp.,TRP,管道
348,"Quanta Services, Inc.",广达公司,PWR,
349,"Charter Communications, Inc.",特许通讯公司,CHTR,媒体内容
350,Lennar Corp.,莲娜,LEN.B,
351,iShares Core S&P Total U.S. Stock Market ETF,iShares 核心标普全美股票 ETF,ITOT,股权
352,The Kraft Heinz Co.,卡夫亨氏,KHC,
353,Otis Worldwide Corp.,Otis Worldwide Corp.,OTIS,
354,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc.",MPWR,半导体
355,"IQVIA Holdings, Inc.","IQVIA Holdings, Inc.",IQV,
356,Barclays PLC,巴克莱银行,BCS,银行
357,"Dow, Inc.",陶氏公司,DOW,化学制品
358,"AMETEK, Inc.",阿美特克公司,AME,
359,"Yum! Brands, Inc.",百胜餐饮集团,YUM,
360,"Block, Inc.","Block, Inc.",SQ,
361,Haleon Plc,Haleon Plc,HLN,
362,"Coupang, Inc.","Coupang, Inc.",CPNG,
363,"lululemon athletica, Inc.","lululemon athletica, Inc.",LULU,零售
364,STMicroelectronics NV,意法半导体,STM,半导体
365,Royal Caribbean Group,皇家加勒比邮轮,RCL,休闲
366,"MSCI, Inc.","MSCI, Inc.",MSCI,软件
367,Fomento Economico Mexicano SAB de CV,Fomento Economico Mexicano SAB de CV,FMX,饮料
368,"Agilent Technologies, Inc.",安捷伦科技公司,A,电子
369,The Hershey Co.,好时食品集团,HSY,
370,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",VRSK,
371,"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc.",ODFL,
372,Banco Santander (Brasil) SA,桑坦德巴西分行,BSBR,银行
373,Nucor Corp.,纽柯钢铁,NUE,钢铁
374,"General Mills, Inc.",通用磨坊有限公司,GIS,食品
375,"Ingersoll Rand, Inc.",英格索兰,IR,
376,Centene Corp.,Centene Corp.,CNC,卫生保健设施
377,The Kroger Co.,克罗格公司,KR,食品
378,Arch Capital Group Ltd.,拱首都创业集团有限公司,ACGL,保险
379,"Cummins, Inc.",康明斯,CMI,
380,"Electronic Arts, Inc.",电子艺界公司,EA,软件
381,"Public Service Enterprise Group, Inc.",美国公共服务企业集团,PEG,
382,AmerisourceBergen Corp.,美源伯根集团,ABC,制药
383,Fastenal Co.,快扣,FAST,
384,iShares Russell 1000 ETF,罗素1000指数ETF-iShares,IWB,股权
385,"Cheniere Energy, Inc.","Cheniere Energy, Inc.",LNG,
386,"Corteva, Inc.",科迪华农业科技公司,CTVA,
387,Exelon Corp.,艾斯能公司,EXC,电力
388,Sysco Corp.,西思科公司,SYY,食品
389,"Martin Marietta Materials, Inc.",马丁-玛丽埃塔材料,MLM,
390,"GE Healthcare Technologies, Inc.","GE Healthcare Technologies, Inc.",GEHC,
391,"HP, Inc.",惠普,HPQ,计算机
392,"Kenvue, Inc.","Kenvue, Inc.",KVUE,
393,Imperial Oil Ltd.,帝国石油公司,IMO,
394,Fair Isaac Corp.,Fair Isaac Corp.,FICO,软件
395,Vertiv Holdings Co.,Vertiv Holdings Co.,VRT,
396,Coca-Cola Europacific Partners plc,Coca-Cola Europacific Partners plc,CCEP,
397,"Fiserv, Inc.","Fiserv, Inc.",FI,
398,"Cenovus Energy, Inc.",Cenovus能源,CVE,
399,"Nasdaq, Inc.",纳斯达克OMX集团,NDAQ,
400,"Biogen, Inc.",百健艾迪股份有限公司,BIIB,生物技术
401,"Gartner, Inc.",加特纳,IT,
402,"Xylem, Inc.",赛莱默公司,XYL,机械-多元
403,Vulcan Materials Co.,火神材料公司,VMC,采矿
404,"DuPont de Nemours, Inc.",杜邦公司,DD,化学制品
405,Ambev SA,安贝夫集团,ABEV,
406,"Diamondback Energy, Inc.","Diamondback Energy, Inc.",FANG,
407,"Extra Space Storage, Inc.","Extra Space Storage, Inc.",EXR,
408,NatWest Group Plc,NatWest Group Plc,NWG,
409,Trip.com Group Ltd.,携程旅行网,TCOM,
410,"Baidu, Inc.",百度,BIDU,媒体内容
411,Las Vegas Sands Corp.,金沙集团,LVS,住宿
412,"Howmet Aerospace, Inc.","Howmet Aerospace, Inc.",HWM,
413,Agnico Eagle Mines Ltd.,伊格尔矿业,AEM,
414,Cognizant Technology Solutions Corp.,高知特信息技术有限公司,CTSH,
415,"Corning, Inc.",康宁公司,GLW,计算机硬件
416,Flutter Entertainment Plc,Flutter Entertainment Plc,FLUT,
417,"Delta Air Lines, Inc.",达美航空,DAL,
418,"Consolidated Edison, Inc.",爱迪生联合电气公司,ED,电力
419,HEICO Corp.,海科航空,HEI,航空航天/国防
420,"ResMed, Inc.",瑞思迈公司,RMD,
421,"Mettler-Toledo International, Inc.",梅特勒-托利多,MTD,
422,Baker Hughes Co.,Baker Hughes Co.,BKR,工程建设
423,ON Semiconductor Corp.,ON Semiconductor Corp.,ON,
424,"Chunghwa Telecom Co., Ltd.",中华电信,CHT,
425,Garmin Ltd.,佳明公司,GRMN,计算机硬件
426,Discover Financial Services,发现金融服务,DFS,多元化金融服务
427,Deutsche Bank AG,德意志银行,DB,银行
428,LyondellBasell Industries NV,利安德巴塞尔公司,LYB,化学制品
429,Vistra Corp.,Vistra Corp.,VST,
430,Tractor Supply Co.,拖拉机供应公司,TSCO,
431,"CoStar Group, Inc.",科斯塔,CSGP,
432,CDW Corp.,CDW Corp.,CDW,
